20mm_2slope,20mm_1slope1,20mm_1slope2,20mm_2slope_trimmed
-0.001297,-0.005072,-0.006548,-0.007343
-0.001296,-0.005073,-0.006574,-0.00733
-0.001283,-0.005073,-0.006548,-0.007316
-0.001284,-0.005072,-0.006575,-0.007342
-0.001295,-0.005073,-0.006562,-0.00733
-0.00127,-0.005072,-0.006548,-0.007329
-0.001295,-0.005073,-0.006573,-0.007343
-0.001295,-0.005073,-0.006574,-0.00733
-0.001295,-0.005073,-0.006574,-0.007342
-0.001295,-0.005073,-0.006561,-0.00733
-0.001296,-0.005072,-0.006561,-0.007343
-0.001297,-0.005073,-0.006573,-0.007343
-0.001283,-0.005073,-0.006574,-0.00733
-0.001269,-0.005072,-0.006574,-0.007343
-0.001282,-0.005073,-0.00656,-0.007343
-0.001296,-0.005072,-0.006561,-0.007343
-0.001295,-0.005061,-0.006574,-0.00733
-0.001296,-0.005061,-0.006575,-0.007303
-0.001297,-0.005085,-0.006561,-0.007343
-0.001295,-0.005073,-0.006574,-0.007343
-0.001283,-0.005086,-0.006574,-0.00733
-0.001295,-0.005073,-0.006575,-0.007317
-0.001295,-0.00506,-0.006548,-0.00733
-0.001295,-0.005085,-0.006574,-0.007342
-0.001295,-0.00506,-0.006561,-0.00733
-0.001296,-0.005086,-0.006575,-0.007329
-0.001295,-0.005059,-0.00656,-0.007316
-0.001296,-0.005061,-0.006574,-0.00733
-0.001297,-0.005085,-0.006574,-0.007342
-0.001308,-0.005061,-0.006588,-0.007343
-0.001282,-0.005072,-0.006574,-0.007343
-0.001282,-0.005059,-0.006586,-0.00733
-0.001295,-0.005073,-0.006561,-0.007317
-0.001295,-0.005086,-0.006575,-0.007343
-0.001295,-0.00506,-0.00656,-0.007343
-0.001295,-0.005072,-0.006562,-0.00733
-0.001295,-0.005073,-0.006574,-0.007317
-0.001296,-0.005061,-0.006562,-0.007317
-0.001282,-0.005072,-0.006561,-0.007342
-0.001308,-0.00506,-0.00656,-0.00733
-0.001295,-0.005072,-0.00656,-0.007343
-0.001296,-0.00506,-0.006574,-0.00733
-0.001296,-0.005061,-0.006562,-0.007317
-0.001297,-0.005085,-0.006548,-0.007343
-0.001296,-0.005073,-0.006574,-0.00733
-0.001297,-0.005073,-0.006561,-0.007317
-0.001295,-0.005061,-0.006574,-0.007343
-0.001295,-0.005073,-0.006562,-0.007316
-0.001297,-0.005072,-0.006561,-0.007343
-0.001309,-0.005073,-0.006574,-0.00733
-0.001296,-0.005072,-0.006561,-0.007317
-0.001296,-0.005073,-0.006561,-0.00733
-0.001295,-0.005073,-0.006574,-0.00733
-0.001296,-0.005072,-0.00656,-0.007343
-0.001295,-0.005073,-0.006573,-0.007329
-0.001295,-0.005073,-0.006561,-0.007343
-0.001295,-0.005073,-0.006559,-0.00733
-0.001296,-0.005073,-0.006561,-0.007317
-0.001296,-0.005085,-0.006561,-0.007343
-0.001295,-0.005073,-0.006574,-0.00733
-0.001295,-0.005086,-0.006561,-0.00733
-0.001295,-0.00506,-0.006574,-0.007329
-0.001295,-0.00506,-0.006562,-0.007343
-0.001295,-0.005085,-0.006547,-0.007343
-0.001308,-0.005073,-0.006561,-0.007343
-0.001295,-0.005059,-0.006575,-0.007316
-0.001295,-0.00506,-0.006574,-0.007343
-0.001295,-0.005059,-0.006561,-0.007329
-0.001295,-0.005085,-0.006547,-0.007342
-0.001308,-0.005061,-0.006574,-0.007303
-0.001309,-0.005073,-0.006534,-0.007329
-0.001295,-0.005073,-0.006573,-0.007343
-0.001295,-0.005086,-0.00656,-0.007329
-0.001296,-0.005086,-0.006548,-0.007329
-0.001309,-0.00506,-0.006559,-0.007303
-0.001295,-0.005072,-0.006548,-0.007303
-0.001297,-0.005086,-0.006561,-0.007343
-0.001295,-0.005073,-0.006575,-0.00733
-0.001295,-0.005072,-0.006561,-0.007343
-0.001295,-0.005087,-0.006561,-0.007316
-0.001296,-0.005086,-0.006548,-0.007317
-0.001295,-0.005059,-0.00656,-0.007343
-0.001296,-0.005073,-0.006548,-0.00733
-0.001295,-0.005086,-0.006535,-0.007343
-0.001322,-0.0051,-0.006561,-0.007343
-0.001297,-0.005085,-0.006535,-0.00733
-0.001297,-0.00506,-0.006559,-0.007343
-0.001308,-0.005073,-0.006535,-0.007317
-0.001296,-0.005085,-0.006535,-0.007343
-0.001295,-0.005073,-0.006562,-0.007316
-0.001295,-0.005087,-0.006548,-0.00733
-0.001296,-0.005073,-0.006574,-0.007343
-0.001308,-0.005061,-0.006562,-0.00733
-0.001295,-0.005085,-0.006535,-0.007343
-0.001295,-0.005072,-0.006561,-0.007316
-0.001295,-0.005086,-0.006561,-0.007303
-0.001295,-0.005073,-0.006561,-0.007343
-0.001295,-0.005073,-0.006562,-0.007316
-0.001296,-0.005085,-0.006535,-0.007329
-0.001308,-0.005073,-0.006574,-0.007317
-0.001297,-0.005073,-0.006548,-0.007316
-0.001297,-0.0051,-0.006561,-0.007343
-0.001295,-0.005073,-0.006548,-0.00733
-0.001295,-0.005086,-0.006548,-0.007343
-0.001308,-0.005086,-0.006561,-0.007316
-0.001296,-0.005073,-0.006561,-0.007317
-0.001296,-0.005099,-0.006562,-0.007343
-0.001295,-0.005087,-0.006548,-0.007316
-0.001295,-0.005085,-0.006535,-0.007343
-0.001308,-0.005073,-0.006561,-0.007317
-0.001295,-0.00506,-0.006548,-0.007317
-0.001297,-0.005085,-0.006561,-0.007343
-0.001295,-0.005072,-0.006561,-0.007343
-0.001297,-0.005086,-0.006548,-0.007343
-0.001295,-0.005061,-0.006573,-0.00733
-0.001296,-0.005061,-0.006561,-0.007317
-0.001295,-0.005099,-0.006561,-0.007343
-0.001295,-0.005073,-0.006573,-0.00733
-0.001296,-0.005072,-0.006547,-0.00733
-0.001308,-0.00506,-0.006559,-0.007316
-0.001296,-0.00506,-0.006561,-0.007316
-0.001295,-0.005085,-0.006562,-0.007342
-0.001308,-0.005073,-0.006561,-0.007343
-0.001295,-0.005072,-0.006562,-0.007343
-0.001295,-0.005087,-0.006574,-0.00733
-0.001296,-0.005061,-0.006562,-0.007317
-0.001296,-0.005072,-0.006561,-0.007343
-0.001295,-0.005073,-0.006561,-0.00733
-0.001295,-0.005086,-0.006548,-0.00733
-0.001295,-0.005073,-0.006574,-0.007329
-0.001296,-0.00506,-0.006548,-0.00733
-0.001296,-0.005086,-0.006561,-0.007343
-0.001321,-0.005073,-0.006562,-0.007316
-0.001295,-0.005072,-0.006548,-0.007343
-0.001295,-0.005086,-0.006574,-0.00733
-0.001295,-0.005074,-0.006575,-0.007316
-0.00131,-0.005086,-0.006547,-0.007342
-0.001321,-0.005086,-0.006574,-0.007329
-0.001296,-0.005085,-0.006574,-0.007343
-0.001308,-0.005073,-0.006573,-0.00733
-0.001309,-0.005073,-0.006561,-0.007317
-0.001322,-0.005099,-0.006547,-0.007342
-0.001321,-0.005086,-0.006561,-0.007343
-0.001308,-0.005072,-0.006547,-0.007343
-0.001308,-0.005085,-0.006559,-0.00733
-0.001308,-0.005073,-0.006548,-0.00733
-0.001308,-0.005099,-0.006548,-0.007343
-0.001321,-0.005073,-0.006561,-0.007343
-0.001295,-0.005086,-0.006562,-0.007343
-0.001308,-0.005086,-0.00656,-0.00733
-0.001309,-0.005073,-0.006561,-0.00733
-0.001308,-0.005085,-0.006535,-0.007342
-0.001335,-0.005073,-0.006574,-0.00733
-0.001295,-0.005086,-0.006562,-0.007317
-0.001321,-0.00506,-0.006574,-0.00733
-0.001295,-0.005061,-0.006535,-0.00733
-0.001296,-0.005086,-0.006535,-0.007342
-0.001321,-0.005086,-0.006573,-0.007343
-0.001295,-0.005086,-0.006561,-0.007343
-0.001322,-0.005073,-0.006573,-0.007343
-0.001295,-0.005087,-0.00656,-0.007343
-0.001296,-0.005099,-0.006534,-0.007355
-0.001308,-0.005073,-0.006574,-0.007343
-0.001296,-0.005072,-0.006561,-0.00733
-0.001309,-0.005073,-0.006574,-0.007342
-0.001309,-0.005073,-0.006547,-0.007343
-0.001296,-0.005086,-0.00656,-0.007342
-0.001322,-0.005073,-0.006573,-0.007343
-0.00131,-0.005086,-0.006547,-0.007343
-0.00131,-0.005086,-0.006573,-0.007343
-0.001309,-0.005072,-0.006547,-0.007343
-0.001296,-0.005099,-0.006562,-0.007342
-0.001322,-0.005073,-0.006573,-0.00733
-0.001296,-0.005072,-0.006562,-0.007343
-0.001309,-0.005072,-0.006559,-0.007343
-0.001309,-0.005086,-0.00656,-0.00733
-0.001309,-0.005085,-0.006561,-0.007341
-0.001308,-0.005086,-0.006573,-0.007343
-0.001295,-0.005099,-0.006547,-0.00733
-0.001296,-0.005086,-0.00656,-0.007342
-0.001322,-0.005086,-0.006548,-0.00733
-0.001295,-0.005085,-0.006548,-0.007355
-0.001322,-0.005073,-0.006573,-0.007343
-0.001297,-0.005073,-0.006548,-0.00733
-0.001295,-0.005072,-0.006559,-0.007355
-0.001309,-0.005073,-0.006559,-0.00733
-0.001297,-0.005085,-0.00656,-0.007342
-0.001322,-0.005072,-0.006573,-0.007356
-0.001296,-0.005073,-0.006533,-0.00733
-0.001296,-0.005086,-0.006547,-0.007356
-0.001295,-0.005073,-0.00656,-0.00733
-0.001295,-0.005085,-0.00656,-0.007342
-0.001308,-0.005072,-0.006573,-0.007343
-0.00131,-0.005073,-0.00656,-0.00733
-0.001296,-0.005072,-0.00656,-0.007342
-0.001308,-0.005073,-0.006562,-0.007343
-0.001296,-0.005085,-0.006548,-0.007355
-0.001322,-0.005086,-0.006573,-0.007356
-0.001295,-0.005087,-0.006534,-0.00733
-0.001296,-0.005086,-0.00656,-0.007355
-0.001322,-0.005073,-0.006548,-0.007343
-0.001309,-0.005099,-0.006548,-0.007356
-0.001309,-0.005073,-0.006573,-0.00733
-0.001296,-0.005072,-0.006548,-0.00733
-0.001297,-0.005086,-0.006547,-0.007355
