,Servo Displacement (deg),Spring Displacement (deg),Spring Displacement (rad),Tz (Nm),Spring Moment (Nm),Force (N),Fx (N),Fy (N),"Min Laminate Length (m, 2*r)"
58,-19.35999999999999,-38.719999999999985,-0.6757914863722041,0.11943575999999999,0.06709074688371751,-4.219803666581982,-2.639550658627559,-3.2923419180026787,0.03179804189234266
59,-18.47999999999999,-36.959999999999994,-0.645073691537104,0.11305076,0.06283895211516467,-3.9732414123100424,-2.388940498264531,-3.174840250508223,0.031631076793106366
60,-17.59999999999999,-35.199999999999974,-0.6143558967020035,0.10316376,0.056772445661608384,-3.607664359495153,-2.0795743227070034,-2.9479845262669344,0.03147324141293065
61,-16.71999999999999,-33.43999999999998,-0.5836381018669035,0.09387276,0.05117178269508806,-3.267223243642207,-1.8004472787378203,-2.726378058942208,0.03132432581377159
62,-15.839999999999993,-31.67999999999999,-0.5529203070318034,0.08499775999999999,0.045920050457194043,-2.9450906146966647,-1.546686873775805,-2.506255861492199,0.03118413418455966
63,-14.959999999999994,-29.919999999999995,-0.5222025121967033,0.07652975999999999,0.040996855272491674,-2.6404879577492752,-1.317049816051131,-2.2885708284994415,0.03105248418359535
64,-14.079999999999995,-28.15999999999998,-0.4914847173616028,0.06771576,0.03598775901778182,-2.327105236882151,-1.098243303304984,-2.051653096961104,0.030929206335333692
65,-13.199999999999996,-26.399999999999984,-0.46076692252650275,0.059347760000000006,0.03130632053076722,-2.031944879689323,-0.9034741756745575,-1.8200369248959858,0.030814143477704812
66,-12.319999999999997,-24.639999999999993,-0.4300491276914027,0.04951976,0.025940900879938687,-1.6895674566509966,-0.7044067888541466,-1.5357243458349896,0.030707150256501583
67,-11.439999999999998,-22.880000000000003,-0.3993313328563026,0.04296276,0.022361050542899163,-1.4611201546320902,-0.5680869820045975,-1.346160943999272,0.03060809266371344
68,-10.559999999999999,-21.120000000000008,-0.36861353802120256,0.03506376,0.018141171045177974,-1.1889282453323429,-0.42839753633029726,-1.1090653377575082,0.030516847617001387
69,-9.68,-19.359999999999992,-0.33789574318610205,0.026566760000000002,0.013669865930306897,-0.8983491617685806,-0.29780504452231554,-0.8475513977968375,0.03043330257779731
70,-8.8,-17.599999999999998,-0.307177948351002,0.01956476,0.01001682033536831,-0.6599270764841295,-0.19954207801976645,-0.6290363307285547,0.030357355205773873
71,-7.920000000000001,-15.840000000000007,-0.2764601535159019,0.011701760000000002,0.00596411567964299,-0.39381510127192987,-0.10749259412812474,-0.3788610249120733,0.030288913047672898
72,-7.040000000000001,-14.07999999999999,-0.2457423586808014,0.0005907600000000009,0.00029988471922808756,-0.019841589135012196,-0.004826991322505147,-0.019245488151125034,0.03022789325870226
73,-6.160000000000001,-12.319999999999997,-0.21502456384570134,-0.008815239999999998,-0.004458962380599189,0.29554779096884254,0.06306145376793998,0.2887416661918342,0.030174222354916975
74,-5.280000000000001,-10.560000000000004,-0.18430676901060128,-0.01691724,-0.008530861330509953,0.566310924679203,0.10378502117121914,0.5567196177534105,0.030127835995190855
75,-4.400000000000001,-8.800000000000011,-0.15358897417550121,-0.026982239999999998,-0.013570996295892744,0.9020666138187468,0.13800341529897156,0.8914478297310727,0.030088678791563347
76,-3.5200000000000014,-7.039999999999995,-0.1228711793404007,-0.03512624,-0.017629576195513707,1.1730877816371834,0.14377626809109,1.16424367215813,0.030056704146913096
77,-2.6400000000000015,-5.280000000000002,-0.09215338450530064,-0.04397424,-0.022033866158747598,1.4673653779574125,0.13503137641000304,1.4611391719521176,0.03003187411906769
78,-1.7600000000000016,-3.52000000000001,-0.061435589670200574,-0.053241239999999995,-0.02664575457188235,1.7755456213937202,0.1090130867705163,1.772195926121933,0.030014159310608624
79,-0.8800000000000017,-1.7599999999999922,-0.030717794835100065,-0.061214239999999996,-0.030614341224522574,2.0407153599547274,0.06267641792584146,2.039752643579887,0.03000353878377408
80,-1.7763568394002505e-15,0.0,0.0,-0.06954924000000001,-0.034774620000000006,2.3183080000000005,-0.0,2.3183080000000005,0.03
81,-0.8800000000000017,-1.7599999999999922,-0.030717794835100065,-0.05194924,-0.025980748265675067,1.7318455968084312,0.05319011192771226,1.7310285910919752,0.03000353878377408
82,-1.7763568394002505e-15,0.0,0.0,-0.06407524,-0.03203762,2.1358413333333335,-0.0,2.1358413333333335,0.03
83,0.8799999999999981,1.7599999999999922,0.030717794835100065,-0.07443124000000001,-0.03722440038664752,2.4813339956271077,-0.0762091223378516,2.4801634154884393,0.03000353878377408
84,1.759999999999998,3.5199999999999845,0.06143558967020013,-0.08311524,-0.041596857740787016,2.7718156161105227,-0.17018102640119243,2.766586385415643,0.030014159310608624
85,2.639999999999998,5.280000000000002,0.09215338450530064,-0.09151724,-0.04585590603448706,3.0538158126716746,-0.281021317990819,3.040858108586828,0.03003187411906769
86,3.519999999999998,7.039999999999995,0.1228711793404007,-0.10120424,-0.050793590785380274,3.3798510001035433,-0.4142421147892576,3.354369725184725,0.030056704146913096
