,Servo Displacement (deg),Spring Displacement (deg),Spring Displacement (rad),Tz (Nm),Spring Moment (Nm),Force (N),Fx (N),Fy (N),"Min Laminate Length (m, 2*r)"
0,0.0,0.0,0.0,2.8560000000001258e-05,1.4280000000000629e-05,-0.000952000000000042,0.0,-0.000952000000000042,0.03
1,-0.8799999999999999,-1.7599999999999922,-0.030717794835100065,0.009357560000000001,0.0046798838778190095,-0.31195546042388117,-0.009581076908349057,-0.311808294074343,0.03000353878377408
2,-1.7599999999999998,-3.52000000000001,-0.061435589670200574,0.02468156,0.012352431878205478,-0.8231069709714949,-0.05053625801937942,-0.8215541201206821,0.030014159310608624
3,-2.6399999999999997,-5.280000000000002,-0.09215338450530064,0.038577560000000004,0.019329789298713408,-1.287284917489757,-0.11845983069495865,-1.2818228143188637,0.03003187411906769
4,-3.5199999999999996,-7.039999999999995,-0.1228711793404007,0.051351560000000004,0.02577293327661867,-1.7149540515582857,-0.21018861277084291,-1.7020247195671536,0.030056704146913096
5,-4.3999999999999995,-8.800000000000011,-0.15358897417550121,0.06246156,0.031415686740451594,-2.088206461844402,-0.3194660118989985,-2.063624891914726,0.030088678791563347
6,-5.279999999999999,-10.560000000000004,-0.18430676901060128,0.07066356,0.03563353309878975,-2.36548905168481,-0.4335115580693844,-2.3254260217562193,0.030127835995190855
7,-4.3999999999999995,-8.800000000000011,-0.15358897417550121,0.06055056,0.030454529552558705,-2.0243181672103154,-0.30969200771564176,-2.0004886659151024,0.030088678791563347
8,-5.279999999999999,-10.560000000000004,-0.18430676901060128,0.07338056,0.03700363544615821,-2.4564416410169585,-0.4501799923129255,-2.4148381954580773,0.030127835995190855
9,-6.159999999999999,-12.319999999999997,-0.21502456384570134,0.08205556,0.041505694134135844,-2.751069680996924,-0.5869996623282436,-2.6877157189939274,0.030174222354916975
10,-7.039999999999999,-14.07999999999999,-0.2457423586808014,0.09115156,0.0462708375275952,-3.061466251160217,-0.7447826344925293,-2.9694906018291016,0.03022789325870226
11,-7.919999999999999,-15.840000000000007,-0.2764601535159019,0.09945356,0.05068917296135921,-3.3470447012461326,-0.9135823294681398,-3.219949620634363,0.030288913047672898
12,-8.799999999999999,-17.599999999999998,-0.307177948351002,0.10792256,0.055254492958411276,-3.640270542929382,-1.1007082063676183,-3.4698719097618516,0.030357355205773873
13,-9.68,-19.359999999999992,-0.33789574318610205,0.12135756,0.062444256462932446,-4.103679270647992,-1.3603801727767926,-3.8716339369653503,0.03043330257779731
14,-8.8,-17.599999999999998,-0.307177948351002,0.09417256,0.04821472964869962,-3.176477616174503,-0.9604711897739168,-3.027788820190723,0.030357355205773873
15,-9.68,-19.359999999999992,-0.33789574318610205,0.10636556,0.054730156963137926,-3.5967280792631717,-1.1923245563795142,-3.3933486452786634,0.03043330257779731
16,-10.559999999999999,-21.120000000000008,-0.36861353802120256,0.11740356,0.06074186177617047,-3.980873944681644,-1.4343982465202314,-3.713469945189388,0.030516847617001387
17,-11.439999999999998,-22.880000000000003,-0.3993313328563026,0.12557056,0.06535636069144886,-4.2705281514604305,-1.6603914752922582,-3.934528032838607,0.03060809266371344
18,-12.319999999999997,-24.639999999999993,-0.4300491276914027,0.13398856,0.07018983844036639,-4.571563160635865,-1.9059553457607865,-4.155300705321921,0.030707150256501583
19,-13.199999999999996,-26.399999999999984,-0.46076692252650275,0.14109056,0.07442616697286375,-4.830649732433022,-2.1478768093599774,-4.326869774937632,0.030814143477704812
20,-14.079999999999995,-28.15999999999998,-0.4914847173616028,0.14816656,0.07874359611076817,-5.091860118040667,-2.4030289594879557,-4.4891526239988035,0.030929206335333692
21,-14.959999999999994,-29.919999999999995,-0.5222025121967033,0.15080456,0.08078573251440732,-5.203173571348952,-2.5952925764783767,-4.509708599905368,0.03105248418359535
22,-14.079999999999995,-28.15999999999998,-0.4914847173616028,0.13607856000000002,0.0723193895301,-4.676446511172318,-2.2069805794601653,-4.12291022140204,0.030929206335333692
23,-14.959999999999994,-29.919999999999995,-0.5222025121967033,0.14678856,0.07863436851203326,-5.064610486369708,-2.5261786518918976,-4.389612830008092,0.03105248418359535
24,-15.839999999999993,-31.67999999999999,-0.5529203070318034,0.15676456,0.0846920731216896,-5.4317411938038385,-2.8526126715014564,-4.622381782463979,0.03118413418455966
