,Servo Displacement (deg),Spring Displacement (deg),Spring Displacement (rad),Tz (Nm),Spring Moment (Nm),Force (N),Fx (N),Fy (N),"Min Laminate Length (m, 2*r)"
0,0.0,0.0,0.0,-3.303999999999959e-05,-1.6519999999999794e-05,0.0011013333333333196,-0.0,0.0011013333333333196,0.03
1,-0.8799999999999999,-1.7599999999999922,-0.030717794835100065,-0.00505204,-0.002526615971054072,0.16842119786353113,0.005172714231493654,0.16834174442860572,0.03000353878377408
2,-1.7599999999999998,-3.52000000000001,-0.061435589670200574,-0.013604040000000001,-0.006808442309496744,0.4536820264754357,0.027854692958871254,0.4528261225095401,0.030014159310608624
3,-2.6399999999999997,-5.280000000000002,-0.09215338450530064,-0.02273604,-0.011392189207589073,0.7586732124956531,0.0698153913589612,0.7554540717263157,0.03003187411906769
4,-3.5199999999999996,-7.039999999999995,-0.1228711793404007,-0.032427040000000004,-0.016274869512790745,1.082944386266797,0.1327280914905922,1.074779883267283,0.030056704146913096
5,-4.3999999999999995,-8.800000000000011,-0.15358897417550121,-0.04102604,-0.02063447055823192,1.371577044055366,0.2098318611127994,1.3554313622760816,0.030088678791563347
6,-5.279999999999999,-10.560000000000004,-0.18430676901060128,-0.04976504,-0.0250950305928911,1.6659032926823478,0.30530191272255797,1.6376887746631945,0.030127835995190855
7,-6.159999999999999,-12.319999999999997,-0.21502456384570134,-0.05871304,-0.0296984808820424,1.9684670267701496,0.42001461758672615,1.9231355013349396,0.030174222354916975
8,-7.039999999999999,-14.07999999999999,-0.2457423586808014,-0.06693604,-0.033978427045906985,2.248150524755806,0.5469220736726538,2.180609324773562,0.03022789325870226
9,-7.919999999999999,-15.840000000000007,-0.2764601535159019,-0.07394503999999999,-0.03768807192215769,2.4885720965185487,0.679260570419146,2.3940752195878434,0.030288913047672898
10,-8.799999999999999,-17.599999999999998,-0.307177948351002,-0.08237804,-0.04217613843766977,2.7786438015949426,0.8401782227226625,2.6485773408010163,0.030357355205773873
11,-9.68,-19.359999999999992,-0.33789574318610205,-0.09030503999999999,-0.04646625292775639,3.0536451184667657,1.0122911660206018,2.880974679640999,0.03043330257779731
12,-10.559999999999999,-21.120000000000008,-0.36861353802120256,-0.09866404,-0.05104647150357752,3.3454616377308106,1.205444928336091,3.120739671019887,0.030516847617001387
13,-11.439999999999998,-22.880000000000003,-0.3993313328563026,-0.10700704,-0.055694509148993966,3.6392015510996556,1.414930195519218,3.3528734648557927,0.03060809266371344
14,-12.319999999999997,-24.639999999999993,-0.4300491276914027,-0.11436703999999999,-0.059911115251204426,3.902095424079252,1.626843898216666,3.54679117364632,0.030707150256501583
15,-13.199999999999996,-26.399999999999984,-0.46076692252650275,-0.12207103999999999,-0.0643932493115849,4.1794606011473805,1.8583352132875093,3.7435920119049952,0.030814143477704812
16,-14.079999999999995,-28.15999999999998,-0.4914847173616028,-0.13032204,-0.06926006841281443,4.4786191835573455,2.1136188636595716,3.948499093391093,0.030929206335333692
17,-14.959999999999994,-29.919999999999995,-0.5222025121967033,-0.13854404,-0.07421779392417145,4.780151789812669,2.384293409478621,4.143066023027641,0.03105248418359535
18,-15.839999999999993,-31.67999999999999,-0.5529203070318034,-0.14723503999999998,-0.07954374875134336,5.101552493365566,2.6792059429313855,4.341393020440049,0.03118413418455966
19,-16.71999999999999,-33.43999999999998,-0.5836381018669035,-0.15472604,-0.08434403437324633,5.385209876482953,2.9675922777585226,4.49376028363302,0.03132432581377159
20,-17.59999999999999,-35.199999999999974,-0.6143558967020035,-0.16255403999999998,-0.0894557391372214,5.684558381741315,3.2767631543895557,4.645107880928111,0.03147324141293065
21,-18.47999999999999,-36.959999999999994,-0.645073691537104,-0.16946303999999998,-0.09419556185071408,5.955887146481396,3.5810207663798286,4.759084152689331,0.031631076793106366
22,-19.35999999999999,-38.719999999999985,-0.6757914863722041,-0.17709903999999999,-0.09948198819172216,6.2571141033485205,3.9139189776521572,4.881876190431016,0.03179804189234266
23,-20.239999999999988,-40.479999999999976,-0.7065092812073042,-0.18514004,-0.10515540718691173,6.57748285065565,4.269987267253406,5.003048009779935,0.0319743614919284
24,-21.119999999999987,-42.23999999999997,-0.7372270760424042,-0.19298604,-0.11089013798235488,6.896093677545645,4.635813495990523,5.105422728812683,0.03216027599608283
25,-21.999999999999986,-43.99999999999996,-0.7679448708775043,-0.20041704,-0.1165662773353613,7.205224688820097,5.0051696411267015,5.183004889050972,0.0323560422803275
26,-22.879999999999985,-45.75999999999998,-0.7986626657126048,-0.20763604,-0.12230680805282583,7.512256842303173,5.381958991989356,5.241041907223768,0.03256193461439957
27,-23.759999999999984,-47.51999999999997,-0.8293804605477049,-0.21333104,-0.1273365142531066,7.769574708164899,5.730163263565916,5.247048705571093,0.03277824566621158
28,-24.639999999999983,-49.27999999999999,-0.8600982553828054,-0.21966104,-0.13293752015385857,8.05552866490773,6.105338863058845,5.2551288698159855,0.03300528759409021
29,-25.519999999999982,-51.03999999999998,-0.8908160502179054,-0.22732903999999998,-0.13957033040454664,8.39687630059184,6.529286070443189,5.279768462513999,0.033243393235341395
30,-26.39999999999998,-52.79999999999997,-0.9215338450530055,-0.23438804,-0.14607264694901892,8.722599181435738,6.947811210946927,5.273675744395327,0.03349291740010353
31,-27.27999999999998,-54.55999999999997,-0.9522516398881056,-0.23948503999999998,-0.15158719194380796,8.981816783077852,7.317694354766455,5.208107339043438,0.03375423828047908
32,-28.15999999999998,-56.31999999999996,-0.9829694347232056,-0.24617804,-0.1583592735138417,9.307652236432064,7.745341854070414,5.161595656184615,0.034027758986093386
33,-29.039999999999978,-58.07999999999995,-1.0136872295583057,-0.25500204000000004,-0.1668059529334982,9.722352056779727,8.252207747653497,5.140544407505549,0.03431390921853704
34,-28.15999999999998,-56.31999999999996,-0.9829694347232056,-0.24784103999999998,-0.15942903372418993,9.370527973314145,7.797663756963616,5.196463646750447,0.034027758986093386
35,-29.039999999999978,-58.07999999999995,-1.0136872295583057,-0.25651704000000003,-0.16779696860809534,9.780113803964264,8.30123517793482,5.171085044660337,0.03431390921853704
36,-29.919999999999977,-59.83999999999994,-1.0444050243934058,-0.26481104,-0.176256750000403,10.184381645400494,8.805678776069755,5.1168008356633505,0.03461314709862718
37,-30.799999999999976,-61.59999999999993,-1.0751228192285058,-0.26976704,-0.18281554229173833,10.468747957615674,9.208819200616928,4.979189967297025,0.03492596116209789
38,-29.919999999999977,-59.83999999999994,-1.0444050243934058,-0.25902704000000004,-0.17240695188774754,9.961934486713316,8.61334523121155,5.005039724670859,0.03461314709862718
39,-29.039999999999978,-58.07999999999995,-1.0136872295583057,-0.24895804000000002,-0.16285235640725054,9.49191509309435,8.056615807970122,5.018704400268887,0.03431390921853704
40,-28.15999999999998,-56.31999999999996,-0.9829694347232056,-0.23905404,-0.15377660860793615,9.038303619746587,7.521204009084737,5.012227306941688,0.034027758986093386
41,-27.27999999999998,-54.55999999999997,-0.9522516398881056,-0.22979104,-0.14545116675115596,8.618246132087892,7.021484916903004,4.997290861552038,0.03375423828047908
42,-26.39999999999998,-52.79999999999997,-0.9215338450530055,-0.22042203999999999,-0.13736891536233045,8.202863532091465,6.533826216780481,4.959444030839357,0.03349291740010353
43,-25.519999999999982,-51.03999999999998,-0.8908160502179054,-0.21157504,-0.1298980466294811,7.814969170558987,6.076803744587408,4.913878242951882,0.033243393235341395
44,-24.639999999999983,-49.27999999999999,-0.8600982553828054,-0.20282104,-0.12274605497919229,7.437963061480531,5.637281776313236,4.852251918274187,0.03300528759409021
45,-23.759999999999984,-47.51999999999997,-0.8293804605477049,-0.19475504,-0.11624856807909598,7.093031717614291,5.231203933578116,4.790157027947955,0.03277824566621158
46,-22.879999999999985,-45.75999999999998,-0.7986626657126048,-0.18618804,-0.10967298774341805,6.7362697605146815,4.826023440241269,4.69966254540327,0.03256193461439957
47,-21.999999999999986,-43.99999999999996,-0.7679448708775043,-0.17749004,-0.10323150779446882,6.380972487307798,4.4325959499769265,4.590087474986421,0.0323560422803275
48,-21.119999999999987,-42.23999999999997,-0.7372270760424042,-0.16903604,-0.09712842338021371,6.040272999649885,4.060498653378213,4.471828328124095,0.03216027599608283
49,-20.239999999999988,-40.479999999999976,-0.7065092812073042,-0.16072403999999998,-0.09128766457501837,5.710053950447955,3.7068675384402368,4.3432532932681145,0.0319743614919284
