,Servo Displacement (deg),Spring Displacement (deg),Spring Displacement (rad),Tz (Nm),Spring Moment (Nm),Force (N),Fx (N),Fy (N)
0,0.0,-2.085056143015616,-0.036391094784556266,-5.59e-05,-2.8081163243775466e-05,-0.002886918617931986,-0.0007716361330754538,-0.002781883675622453
1,0.8799999999999999,-3.8334271076518065,-0.06690592466372713,-0.0012269,-0.0006187285220988934,-0.06337579468388084,-0.01782598907464207,-0.060817147790110646
2,1.7599999999999998,-5.575075634669077,-0.09730342587268792,-0.0047989,-0.002429348833153727,-0.24797131533253328,-0.0730893008909054,-0.23695511668462732
3,2.6399999999999997,-7.3101637793049905,-0.1275864268089042,-0.0083789,-0.004257500694177389,-0.43315804423336174,-0.13329129342804044,-0.41213993058226106
4,3.5199999999999996,-9.038880034281032,-0.15775821729098194,-0.011824900000000001,-0.006030317134294577,-0.6116613989819165,-0.19585137510175024,-0.5794582865705424
5,4.3999999999999995,-10.76143791282871,-0.1878225238278075,-0.0149739,-0.007663043871709803,-0.77510059230997,-0.25747767847656805,-0.7310856128290197
6,5.279999999999999,-12.47807469778556,-0.21778348778615442,-0.0182939,-0.00939374364257485,-0.9477533309860506,-0.32574306520477386,-0.8900156357425149
7,6.159999999999999,-14.189050363914147,-0.2476456465816015,-0.0213469,-0.010996875273231834,-1.1069992639664654,-0.3927050444992683,-1.0350024726768163
8,7.039999999999999,-15.894646680133963,-0.27741391800952364,-0.0247929,-0.01281131936140638,-1.287130303329917,-0.470235761888597,-1.198158063859362
9,7.919999999999999,-17.595166498294976,-0.3070935878318486,-0.0280049,-0.014512979680467348,-1.4557033229035035,-0.5465830451323215,-1.349192031953265
10,8.799999999999999,-19.290933235470327,-0.33669030074135975,-0.0314279,-0.016330972428171484,-1.6359157892759537,-0.6301176465645165,-1.509692757182852
11,9.68,-20.982290557521125,-0.36621005483886027,-0.0346099,-0.018029487454504348,-1.804338772316832,-0.7117145519781912,-1.658041254549565
12,10.559999999999999,-22.669602272922244,-0.39565919978008335,-0.0377669,-0.0197191002897632,-1.972283158497921,-0.7954056282717021,-1.8047799710236798
13,11.439999999999998,-24.353252447563833,-0.4250444387793566,-0.0412019,-0.021556893476619977,-2.1556898782108336,-0.8875449498387118,-1.9645006523380024
14,12.319999999999997,-26.033645753527924,-0.4543728346969025,-0.044619900000000004,-0.02338757191104413,-2.3392833185075093,-0.9819006484756284,-2.123232808895587
15,13.199999999999996,-27.711208067746703,-0.48365182048739586,-0.0476749,-0.025027773127790823,-2.50499430514138,-1.070547949944959,-2.264712687220918
16,14.079999999999995,-29.38638734009589,-0.512889214351052,-0.0511479,-0.026885491357763188,-2.6939451737894435,-1.1707672134777936,-2.426240864223682
17,14.959999999999994,-31.05965475498906,-0.5420932400072718,-0.0541999,-0.02851816751834548,-2.8621260225788863,-1.263428484929221,-2.568173248165452
18,15.839999999999993,-32.731506216107086,-0.5712725526080593,-0.0570319,-0.030029086292103192,-3.020140470031247,-1.3526747492604285,-2.7002813707896807
19,16.71999999999999,-34.402464190756966,-0.6004362709281557,-0.0603829,-0.031805346089809665,-3.2072791261572875,-1.4559785431749683,-2.8577553910190336
20,17.59999999999999,-36.07307995881918,-0.6295940166165752,-0.0633649,-0.033377173064750784,-3.3766387726018814,-1.552112023407984,-2.9987726935249217
21,18.47999999999999,-37.743936321731844,-0.6587559614772984,-0.06647990000000001,-0.035006601173351644,-3.5550389676410807,-1.6530628152406996,-3.147329882664837
22,19.35999999999999,-39.41565084001509,-0.6879328839747321,-0.0696469,-0.036648396758925755,-3.738393725319013,-1.7568652435496284,-3.299850324107424
23,20.239999999999988,-41.08887968419607,-0.7171362364450293,-0.0726659,-0.03819460563923249,-3.916162513739933,-1.8583937916800766,-3.447129436076751
24,21.119999999999987,-42.764322204625415,-0.7463782248544337,-0.0760149,-0.03989345091968258,-4.1143399200862065,-1.9698228705635772,-3.612144908031742
25,21.999999999999986,-44.44272635189993,-0.7756719034035018,-0.0790219,-0.0413887856276959,-4.296873230308656,-2.0737903905057355,-3.76331143723041
