,Servo Displacement (deg),Spring Displacement (deg),Spring Displacement (rad),Tz (Nm),Spring Moment (Nm),Force (N),Fx (N),Fy (N)
0,0.0,-2.085056143015616,-0.036391094784556266,-5.478000000000015e-05,-2.7518535286118504e-05,-0.002829076956892927,-0.0007561758026810997,-0.0027261464713881642
1,0.8799999999999999,-3.8334271076518065,-0.06690592466372713,-0.00104278,-0.0005258763780864652,-0.053865034787233895,-0.01515085572357589,-0.05169036219135348
2,1.7599999999999998,-5.575075634669077,-0.09730342587268792,-0.0029697800000000004,-0.0015033927728694651,-0.15345605302220316,-0.04523102044214155,-0.14663872271305353
3,2.6399999999999997,-7.3101637793049905,-0.1275864268089042,-0.00478678,-0.002432266666611899,-0.24745876701898478,-0.0761479546904099,-0.2354513333388101
4,3.5199999999999996,-9.038880034281032,-0.15775821729098194,-0.00657178,-0.003351395575168873,-0.3399355722755693,-0.10884592257576642,-0.3220384424831127
5,4.3999999999999995,-10.76143791282871,-0.1878225238278075,-0.00783378,-0.00400901567536332,-0.405503410469283,-0.13470261509000123,-0.382476432463668
6,5.279999999999999,-12.47807469778556,-0.21778348778615442,-0.00899978,-0.004621301426135067,-0.4662522192174244,-0.16025100844372278,-0.43784785738649334
7,6.159999999999999,-14.189050363914147,-0.2476456465816015,-0.01009778,-0.005201880703827486,-0.5236467603115815,-0.1857622954266813,-0.4895899296172515
8,7.039999999999999,-15.894646680133963,-0.27741391800952364,-0.011445780000000001,-0.005914416745132596,-0.5942108540448071,-0.2170869514542174,-0.5531363254867405
9,7.919999999999999,-17.595166498294976,-0.3070935878318486,-0.01298078,-0.006727029783238539,-0.674744940345416,-0.25335117285163444,-0.6253750216761461
10,8.799999999999999,-19.290933235470327,-0.33669030074135975,-0.01458878,-0.0075808108063427585,-0.7593894453104804,-0.29249958539538073,-0.7007969193657242
11,9.68,-20.982290557521125,-0.36621005483886027,-0.01629878,-0.008490595163052374,-0.8497141192393545,-0.3351664958723112,-0.7808184836947625
12,10.559999999999999,-22.669602272922244,-0.39565919978008335,-0.01789178,-0.009341772932975155,-0.9343540605543461,-0.3768173324206931,-0.8550007067024843
13,11.439999999999998,-24.353252447563833,-0.4250444387793566,-0.01975778,-0.010337298978796915,-1.0337301522967737,-0.42560944662805117,-0.9420481021203083
14,12.319999999999997,-26.033645753527924,-0.4543728346969025,-0.021507779999999997,-0.01127332762728999,-1.127586367789471,-0.47329785878657604,-1.0234452372710006
15,13.199999999999996,-27.711208067746703,-0.48365182048739586,-0.02307378,-0.012112984632176622,-1.2123714469896125,-0.518125635847815,-1.0960795367823377
16,14.079999999999995,-29.38638734009589,-0.512889214351052,-0.024977779999999998,-0.013129373607247025,-1.3155724845589845,-0.5717373712207414,-1.1848406392752975
17,14.959999999999994,-31.05965475498906,-0.5420932400072718,-0.02673778,-0.014068522065698781,-1.4119379542026698,-0.6232718672132388,-1.2669257934301217
18,15.839999999999993,-32.731506216107086,-0.5712725526080593,-0.028407779999999997,-0.01495758824424722,-1.5043420619292756,-0.6737718134683469,-1.3450191755752776
19,16.71999999999999,-34.402464190756966,-0.6004362709281557,-0.030167779999999998,-0.015890205400224865,-1.6023823148027885,-0.727418530332643,-1.4277574599775131
20,17.59999999999999,-36.07307995881918,-0.6295940166165752,-0.03187878,-0.016792002467503557,-1.698781574203469,-0.7808650803453958,-1.5086777532496445
21,18.47999999999999,-37.743936321731844,-0.6587559614772984,-0.03367978,-0.017734903723775536,-1.80103956717111,-0.8374680458828516,-1.5944876276224462
22,19.35999999999999,-39.41565084001509,-0.6879328839747321,-0.035362779999999996,-0.018607995358567348,-1.8981461466603209,-0.8920373928673341,-1.6754784641432647
23,20.239999999999988,-41.08887968419607,-0.7171362364450293,-0.03712578,-0.01951402963630678,-2.0008090167376404,-0.9494731237524112,-1.7611750363693217
24,21.119999999999987,-42.764322204625415,-0.7463782248544337,-0.03895478,-0.020443894605097587,-2.1084446132557666,-1.0094602053251749,-1.8510885394902414
25,21.999999999999986,-44.44272635189993,-0.7756719034035018,-0.04063278,-0.021281966402697597,-2.2094369365330495,-1.0663356449735282,-1.9350813597302403
26,22.879999999999985,-46.12489511322024,-0.8050312868627358,-0.04237178,-0.022137632408593233,-2.3153998451248494,-1.1255528220816,-2.023414759140677
27,23.759999999999984,-47.81169417348087,-0.8344714842838301,-0.04385878,-0.022845545454106622,-2.4093493489858986,-1.178729835310664,-2.1013234545893376
28,24.639999999999983,-49.50406106664603,-0.8640088587213093,-0.04553078,-0.02363165937879686,-2.5153707891112744,-1.2374875219145567,-2.189912062120314
29,25.519999999999982,-51.203016157836714,-0.8936612189061073,-0.04732178,-0.024458392262988793,-2.630162102537573,-1.3001567972732064,-2.2863387737011207
30,26.39999999999998,-52.9096758964025,-0.9234480505553058,-0.04892778,-0.025165796356778496,-2.7370616088042072,-1.3583768195101882,-2.37619836432215
31,27.27999999999998,-54.625268915014416,-0.9533907973543121,-0.05037578,-0.02576614903807839,-2.837626492425783,-1.4127224602507549,-2.460963096192161
32,28.15999999999998,-56.351155734015855,-0.9835132048626587,-0.05215378,-0.026505727387828998,-2.959618256161467,-1.4768595716036537,-2.5648052612170997
33,29.039999999999978,-58.08885308558126,-1.0138417450506605,-0.05380178,-0.027145304612542234,-3.0774594750260795,-1.537881666321039,-2.6656475387457763
