n,t,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,
888,4.149533,0.204971,0.066214,0.342653,,,,,,,,,,,,,,,,,,,,,,,,
889,4.154206,0.204973,0.066209,0.34266,,,,,,,,,,,,,,,,,,,,,,,,
890,4.158879,0.204966,0.06622,0.34265,,,,,,,,,,,,,,,,,,,,,,,,
891,4.163551,0.204973,0.066201,0.34266,,,,,,,,,,,,,,,,,,,,,,,,
892,4.168224,0.204973,0.066203,0.342656,,,,,,,,,,,,,,,,,,,,,,,,
893,4.172897,0.20497,0.06621,0.342653,,,,,,,,,,,,,,,,,,,,,,,,
894,4.17757,0.204972,0.066207,0.342658,,,,,,,,,,,,,,,,,,,,,,,,
895,4.182243,0.204966,0.066215,0.34265,,,,,,,,,,,,,,,,,,,,,,,,
896,4.186916,0.204959,0.066229,0.342647,,,,,,,,,,,,,,,,,,,,,,,,
897,4.191589,0.204971,0.066217,0.342655,,,,,,,,,,,,,,,,,,,,,,,,
898,4.196262,0.204967,0.066227,0.34265,,,,,,,,,,,,,,,,,,,,,,,,
899,4.200935,0.20497,0.066217,0.342654,,,,,,,,,,,,,,,,,,,,,,,,
900,4.205607,0.204966,0.066221,0.342658,,,,,,,,,,,,,,,,,,,,,,,,
901,4.21028,0.204973,0.066199,0.34267,,,,,,,,,,,,,,,,,,,,,,,,
902,4.214953,0.204974,0.066202,0.342663,,,,,,,,,,,,,,,,,,,,,,,,
903,4.219626,0.20498,0.06619,0.342666,,,,,,,,,,,,,,,,,,,,,,,,
904,4.224299,0.204974,0.066205,0.34266,,,,,,,,,,,,,,,,,,,,,,,,
905,4.228972,0.204978,0.066189,0.342668,,,,,,,,,,,,,,,,,,,,,,,,
906,4.233645,0.20499,0.066179,0.342673,,,,,,,,,,,,,,,,,,,,,,,,
907,4.238318,0.204974,0.066202,0.342664,,,,,,,,,,,,,,,,,,,,,,,,
908,4.242991,0.204973,0.066204,0.342664,,,,,,,,,,,,,,,,,,,,,,,,
909,4.247664,0.20497,0.066207,0.342659,,,,,,,,,,,,,,,,,,,,,,,,
910,4.252336,0.204973,0.066207,0.342665,,,,,,,,,,,,,,,,,,,,,,,,
911,4.257009,0.204976,0.066207,0.342665,,,,,,,,,,,,,,,,,,,,,,,,
912,4.261682,0.20498,0.066198,0.342669,,,,,,,,,,,,,,,,,,,,,,,,
913,4.266355,0.204976,0.0662,0.342668,,,,,,,,,,,,,,,,,,,,,,,,
914,4.271028,0.204984,0.066183,0.342674,,,,,,,,,,,,,,,,,,,,,,,,
915,4.275701,0.204975,0.066196,0.342668,,,,,,,,,,,,,,,,,,,,,,,,
916,4.280374,0.204984,0.066189,0.342675,,,,,,,,,,,,,,,,,,,,,,,,
917,4.285047,0.204984,0.066178,0.342674,,,,,,,,,,,,,,,,,,,,,,,,
918,4.28972,0.204982,0.066182,0.342668,,,,,,,,,,,,,,,,,,,,,,,,
919,4.294393,0.204971,0.066193,0.342662,,,,,,,,,,,,,,,,,,,,,,,,
920,4.299065,0.204975,0.066198,0.342662,,,,,,,,,,,,,,,,,,,,,,,,
921,4.303738,0.204971,0.066207,0.342664,,,,,,,,,,,,,,,,,,,,,,,,
922,4.308411,0.204979,0.06619,0.34267,,,,,,,,,,,,,,,,,,,,,,,,
923,4.313084,0.204978,0.066197,0.342668,,,,,,,,,,,,,,,,,,,,,,,,
924,4.317757,0.204985,0.066183,0.342673,,,,,,,,,,,,,,,,,,,,,,,,
925,4.32243,0.204978,0.066199,0.342669,,,,,,,,,,,,,,,,,,,,,,,,
926,4.327103,0.204979,0.066179,0.342664,,,,,,,,,,,,,,,,,,,,,,,,
927,4.331776,0.204968,0.066194,0.342643,,,,,,,,,,,,,,,,,,,,,,,,
928,4.336449,0.204964,0.066223,0.342653,,,,,,,,,,,,,,,,,,,,,,,,
929,4.341121,0.204974,0.066264,0.34268,,,,,,,,,,,,,,,,,,,,,,,,
930,4.345794,0.20496,0.066361,0.342648,,,,,,,,,,,,,,,,,,,,,,,,
931,4.350467,0.204934,0.066516,0.342602,,,,,,,,,,,,,,,,,,,,,,,,
932,4.35514,0.204906,0.066668,0.342577,,,,,,,,,,,,,,,,,,,,,,,,
933,4.359813,0.204917,0.066815,0.342556,,,,,,,,,,,,,,,,,,,,,,,,
934,4.364486,0.204927,0.066998,0.342569,,,,,,,,,,,,,,,,,,,,,,,,
935,4.369159,0.205001,0.067138,0.342672,,,,,,,,,,,,,,,,,,,,,,,,
936,4.373832,0.205032,0.067392,0.342814,,,,,,,,,,,,,,,,,,,,,,,,
937,4.378505,0.204994,0.067853,0.342865,,,,,,,,,,,,,,,,,,,,,,,,
938,4.383178,0.205029,0.068207,0.342904,,,,,,,,,,,,,,,,,,,,,,,,
939,4.38785,0.205056,0.068577,0.342929,,,,,,,,,,,,,,,,,,,,,,,,
940,4.392523,0.205021,0.069113,0.342894,,,,,,,,,,,,,,,,,,,,,,,,
941,4.397196,0.204963,0.069676,0.342812,,,,,,,,,,,,,,,,,,,,,,,,
942,4.401869,0.204932,0.070236,0.342715,,,,,,,,,,,,,,,,,,,,,,,,
943,4.406542,0.204847,0.071053,0.342624,,,,,,,,,,,,,,,,,,,,,,,,
944,4.411215,0.204808,0.071815,0.342586,,,,,,,,,,,,,,,,,,,,,,,,
945,4.415888,0.204696,0.072791,0.342521,,,,,,,,,,,,,,,,,,,,,,,,
946,4.420561,0.204716,0.073663,0.342483,,,,,,,,,,,,,,,,,,,,,,,,
947,4.425234,0.204664,0.074725,0.342438,,,,,,,,,,,,,,,,,,,,,,,,
948,4.429907,0.204612,0.075894,0.342349,,,,,,,,,,,,,,,,,,,,,,,,
949,4.434579,0.204662,0.076844,0.342341,,,,,,,,,,,,,,,,,,,,,,,,
950,4.439252,0.204535,0.078127,0.342232,,,,,,,,,,,,,,,,,,,,,,,,
951,4.443925,0.204513,0.079264,0.342232,,,,,,,,,,,,,,,,,,,,,,,,
952,4.448598,0.204479,0.080362,0.342207,,,,,,,,,,,,,,,,,,,,,,,,
953,4.453271,0.204535,0.08131,0.342203,,,,,,,,,,,,,,,,,,,,,,,,
954,4.457944,0.204509,0.082307,0.342195,,,,,,,,,,,,,,,,,,,,,,,,
955,4.462617,0.204557,0.083155,0.342175,,,,,,,,,,,,,,,,,,,,,,,,
956,4.46729,0.204539,0.083901,0.342185,,,,,,,,,,,,,,,,,,,,,,,,
957,4.471963,0.204584,0.084441,0.342247,,,,,,,,,,,,,,,,,,,,,,,,
958,4.476636,0.204605,0.085008,0.342332,,,,,,,,,,,,,,,,,,,,,,,,
959,4.481308,0.20467,0.085253,0.342469,,,,,,,,,,,,,,,,,,,,,,,,
960,4.485981,0.204783,0.085312,0.342664,,,,,,,,,,,,,,,,,,,,,,,,
961,4.490654,0.204838,0.085371,0.342793,,,,,,,,,,,,,,,,,,,,,,,,
962,4.495327,0.204882,0.085224,0.342936,,,,,,,,,,,,,,,,,,,,,,,,
963,4.5,0.204929,0.084874,0.343018,,,,,,,,,,,,,,,,,,,,,,,,
964,4.504673,0.204937,0.084368,0.343135,,,,,,,,,,,,,,,,,,,,,,,,
965,4.509346,0.204956,0.083598,0.343234,,,,,,,,,,,,,,,,,,,,,,,,
966,4.514019,0.204933,0.082732,0.343249,,,,,,,,,,,,,,,,,,,,,,,,
967,4.518692,0.204943,0.081489,0.343303,,,,,,,,,,,,,,,,,,,,,,,,
968,4.523364,0.204966,0.080136,0.343307,,,,,,,,,,,,,,,,,,,,,,,,
969,4.528037,0.204999,0.078544,0.343311,,,,,,,,,,,,,,,,,,,,,,,,
970,4.53271,0.204974,0.076933,0.343264,,,,,,,,,,,,,,,,,,,,,,,,
971,4.537383,0.204884,0.075296,0.343136,,,,,,,,,,,,,,,,,,,,,,,,
972,4.542056,0.204916,0.07332,0.343059,,,,,,,,,,,,,,,,,,,,,,,,
973,4.546729,0.204968,0.071295,0.342972,,,,,,,,,,,,,,,,,,,,,,,,
974,4.551402,0.205021,0.069291,0.342942,,,,,,,,,,,,,,,,,,,,,,,,
975,4.556075,0.205085,0.0672,0.342946,,,,,,,,,,,,,,,,,,,,,,,,
976,4.560748,0.20508,0.065427,0.342774,,,,,,,,,,,,,,,,,,,,,,,,
977,4.565421,0.205071,0.063808,0.342541,,,,,,,,,,,,,,,,,,,,,,,,
978,4.570093,0.205037,0.062684,0.342341,,,,,,,,,,,,,,,,,,,,,,,,
979,4.574766,0.205008,0.062526,0.342257,,,,,,,,,,,,,,,,,,,,,,,,
980,4.579439,0.204961,0.062943,0.342169,,,,,,,,,,,,,,,,,,,,,,,,
981,4.584112,0.204887,0.063734,0.342111,,,,,,,,,,,,,,,,,,,,,,,,
982,4.588785,0.204873,0.064818,0.34214,,,,,,,,,,,,,,,,,,,,,,,,
983,4.593458,0.20482,0.065983,0.342199,,,,,,,,,,,,,,,,,,,,,,,,
984,4.598131,0.204772,0.067288,0.342203,,,,,,,,,,,,,,,,,,,,,,,,
985,4.602804,0.204764,0.068561,0.34227,,,,,,,,,,,,,,,,,,,,,,,,
986,4.607477,0.204802,0.06985,0.342391,,,,,,,,,,,,,,,,,,,,,,,,
987,4.61215,0.204784,0.071306,0.342469,,,,,,,,,,,,,,,,,,,,,,,,
988,4.616822,0.204766,0.072866,0.342613,,,,,,,,,,,,,,,,,,,,,,,,
989,4.621495,0.2048,0.074486,0.342759,,,,,,,,,,,,,,,,,,,,,,,,
990,4.626168,0.204854,0.076128,0.342873,,,,,,,,,,,,,,,,,,,,,,,,
991,4.630841,0.204875,0.077893,0.342999,,,,,,,,,,,,,,,,,,,,,,,,
992,4.635514,0.204864,0.07969,0.343081,,,,,,,,,,,,,,,,,,,,,,,,
993,4.640187,0.204867,0.081408,0.343089,,,,,,,,,,,,,,,,,,,,,,,,
994,4.64486,0.204917,0.083138,0.343063,,,,,,,,,,,,,,,,,,,,,,,,
995,4.649533,0.204903,0.084879,0.343016,,,,,,,,,,,,,,,,,,,,,,,,
996,4.654206,0.204879,0.086492,0.342964,,,,,,,,,,,,,,,,,,,,,,,,
997,4.658879,0.204882,0.087968,0.3429,,,,,,,,,,,,,,,,,,,,,,,,
998,4.663551,0.204913,0.089314,0.342814,,,,,,,,,,,,,,,,,,,,,,,,
999,4.668224,0.204903,0.090419,0.342741,,,,,,,,,,,,,,,,,,,,,,,,
1000,4.672897,0.204923,0.09134,0.342653,,,,,,,,,,,,,,,,,,,,,,,,
1001,4.67757,0.204879,0.092148,0.342608,,,,,,,,,,,,,,,,,,,,,,,,
1002,4.682243,0.204965,0.092651,0.342589,,,,,,,,,,,,,,,,,,,,,,,,
1003,4.686916,0.204967,0.093059,0.342528,,,,,,,,,,,,,,,,,,,,,,,,
1004,4.691589,0.204938,0.093235,0.34246,,,,,,,,,,,,,,,,,,,,,,,,
1005,4.696262,0.204914,0.093138,0.342457,,,,,,,,,,,,,,,,,,,,,,,,
1006,4.700935,0.204913,0.092881,0.342469,,,,,,,,,,,,,,,,,,,,,,,,
1007,4.705607,0.204857,0.092495,0.342479,,,,,,,,,,,,,,,,,,,,,,,,
1008,4.71028,0.204816,0.091857,0.342469,,,,,,,,,,,,,,,,,,,,,,,,
1009,4.714953,0.204792,0.09094,0.342468,,,,,,,,,,,,,,,,,,,,,,,,
1010,4.719626,0.204857,0.089785,0.342601,,,,,,,,,,,,,,,,,,,,,,,,
1011,4.724299,0.204825,0.088514,0.342643,,,,,,,,,,,,,,,,,,,,,,,,
1012,4.728972,0.204828,0.087082,0.342676,,,,,,,,,,,,,,,,,,,,,,,,
1013,4.733645,0.204831,0.085463,0.342756,,,,,,,,,,,,,,,,,,,,,,,,
1014,4.738318,0.204828,0.083623,0.342766,,,,,,,,,,,,,,,,,,,,,,,,
1015,4.742991,0.204682,0.081807,0.342665,,,,,,,,,,,,,,,,,,,,,,,,
1016,4.747664,0.20468,0.079641,0.34265,,,,,,,,,,,,,,,,,,,,,,,,
1017,4.752336,0.204673,0.077408,0.342594,,,,,,,,,,,,,,,,,,,,,,,,
1018,4.757009,0.204688,0.0749,0.34249,,,,,,,,,,,,,,,,,,,,,,,,
1019,4.761682,0.204734,0.072409,0.342445,,,,,,,,,,,,,,,,,,,,,,,,
1020,4.766355,0.204717,0.070085,0.342311,,,,,,,,,,,,,,,,,,,,,,,,
1021,4.771028,0.204739,0.067692,0.342111,,,,,,,,,,,,,,,,,,,,,,,,
1022,4.775701,0.204712,0.065467,0.341974,,,,,,,,,,,,,,,,,,,,,,,,
1023,4.780374,0.204656,0.063527,0.341604,,,,,,,,,,,,,,,,,,,,,,,,
1024,4.785047,0.204661,0.062164,0.341355,,,,,,,,,,,,,,,,,,,,,,,,
1025,4.78972,0.20462,0.061944,0.341278,,,,,,,,,,,,,,,,,,,,,,,,
1026,4.794393,0.204655,0.062464,0.341177,,,,,,,,,,,,,,,,,,,,,,,,
1027,4.799065,0.204465,0.063702,0.341104,,,,,,,,,,,,,,,,,,,,,,,,
1028,4.803738,0.204472,0.064973,0.341092,,,,,,,,,,,,,,,,,,,,,,,,
1029,4.808411,0.204367,0.066652,0.34113,,,,,,,,,,,,,,,,,,,,,,,,
1030,4.813084,0.204312,0.068385,0.34113,,,,,,,,,,,,,,,,,,,,,,,,
1031,4.817757,0.204313,0.069983,0.341229,,,,,,,,,,,,,,,,,,,,,,,,
1032,4.82243,0.204337,0.071722,0.341353,,,,,,,,,,,,,,,,,,,,,,,,
1033,4.827103,0.204294,0.07363,0.341374,,,,,,,,,,,,,,,,,,,,,,,,
1034,4.831776,0.204262,0.075581,0.341414,,,,,,,,,,,,,,,,,,,,,,,,
1035,4.836449,0.20422,0.077608,0.341468,,,,,,,,,,,,,,,,,,,,,,,,
1036,4.841121,0.204208,0.079698,0.341529,,,,,,,,,,,,,,,,,,,,,,,,
1037,4.845794,0.204326,0.081559,0.341675,,,,,,,,,,,,,,,,,,,,,,,,
1038,4.850467,0.204442,0.08347,0.341765,,,,,,,,,,,,,,,,,,,,,,,,
1039,4.85514,0.204363,0.085641,0.341732,,,,,,,,,,,,,,,,,,,,,,,,
1040,4.859813,0.204447,0.087437,0.341678,,,,,,,,,,,,,,,,,,,,,,,,
1041,4.864486,0.204458,0.089189,0.341672,,,,,,,,,,,,,,,,,,,,,,,,
1042,4.869159,0.204421,0.090937,0.341584,,,,,,,,,,,,,,,,,,,,,,,,
1043,4.873832,0.204474,0.092444,0.341493,,,,,,,,,,,,,,,,,,,,,,,,
1044,4.878505,0.204577,0.093686,0.341507,,,,,,,,,,,,,,,,,,,,,,,,
1045,4.883178,0.204561,0.094866,0.341455,,,,,,,,,,,,,,,,,,,,,,,,
1046,4.88785,0.204637,0.095682,0.341505,,,,,,,,,,,,,,,,,,,,,,,,
1047,4.892523,0.204682,0.09632,0.341512,,,,,,,,,,,,,,,,,,,,,,,,
1048,4.897196,0.204721,0.096788,0.341542,,,,,,,,,,,,,,,,,,,,,,,,
1049,4.901869,0.204753,0.097187,0.341628,,,,,,,,,,,,,,,,,,,,,,,,
1050,4.906542,0.204764,0.097355,0.341696,,,,,,,,,,,,,,,,,,,,,,,,
1051,4.911215,0.204793,0.097159,0.341808,,,,,,,,,,,,,,,,,,,,,,,,
1052,4.915888,0.204837,0.096837,0.341941,,,,,,,,,,,,,,,,,,,,,,,,
1053,4.920561,0.204912,0.096213,0.342065,,,,,,,,,,,,,,,,,,,,,,,,
1054,4.925234,0.204911,0.095563,0.342137,,,,,,,,,,,,,,,,,,,,,,,,
1055,4.929907,0.204918,0.094544,0.342297,,,,,,,,,,,,,,,,,,,,,,,,
1056,4.934579,0.20489,0.09349,0.34243,,,,,,,,,,,,,,,,,,,,,,,,
1057,4.939252,0.204819,0.092176,0.342517,,,,,,,,,,,,,,,,,,,,,,,,
1058,4.943925,0.204879,0.090614,0.342631,,,,,,,,,,,,,,,,,,,,,,,,
1059,4.948598,0.204878,0.088936,0.34272,,,,,,,,,,,,,,,,,,,,,,,,
1060,4.953271,0.204888,0.086909,0.342772,,,,,,,,,,,,,,,,,,,,,,,,
1061,4.957944,0.204863,0.084805,0.342825,,,,,,,,,,,,,,,,,,,,,,,,
1062,4.962617,0.204826,0.0826,0.342842,,,,,,,,,,,,,,,,,,,,,,,,
1063,4.96729,0.204731,0.080313,0.34276,,,,,,,,,,,,,,,,,,,,,,,,
1064,4.971963,0.204778,0.077709,0.342723,,,,,,,,,,,,,,,,,,,,,,,,
1065,4.976636,0.204737,0.075009,0.342657,,,,,,,,,,,,,,,,,,,,,,,,
1066,4.981308,0.204816,0.072105,0.342618,,,,,,,,,,,,,,,,,,,,,,,,
1067,4.985981,0.204892,0.069334,0.342574,,,,,,,,,,,,,,,,,,,,,,,,
1068,4.990654,0.204842,0.066865,0.342441,,,,,,,,,,,,,,,,,,,,,,,,
1069,4.995327,0.204905,0.064301,0.342308,,,,,,,,,,,,,,,,,,,,,,,,
1070,5,0.205046,0.062133,0.342149,,,,,,,,,,,,,,,,,,,,,,,,
1071,5.004673,0.205029,0.061585,0.342049,,,,,,,,,,,,,,,,,,,,,,,,
1072,5.009346,0.204844,0.062461,0.341852,,,,,,,,,,,,,,,,,,,,,,,,
1073,5.014019,0.204856,0.063403,0.341786,,,,,,,,,,,,,,,,,,,,,,,,
1074,5.018692,0.204813,0.064696,0.341902,,,,,,,,,,,,,,,,,,,,,,,,
1075,5.023364,0.204701,0.066195,0.341826,,,,,,,,,,,,,,,,,,,,,,,,
1076,5.028037,0.204651,0.067724,0.341833,,,,,,,,,,,,,,,,,,,,,,,,
1077,5.03271,0.204648,0.069392,0.341941,,,,,,,,,,,,,,,,,,,,,,,,
1078,5.037383,0.204607,0.071053,0.342005,,,,,,,,,,,,,,,,,,,,,,,,
1079,5.042056,0.204557,0.072819,0.342057,,,,,,,,,,,,,,,,,,,,,,,,
1080,5.046729,0.204639,0.074554,0.342342,,,,,,,,,,,,,,,,,,,,,,,,
1081,5.051402,0.204672,0.076379,0.34243,,,,,,,,,,,,,,,,,,,,,,,,
1082,5.056075,0.20465,0.07828,0.342506,,,,,,,,,,,,,,,,,,,,,,,,
1083,5.060748,0.204676,0.080305,0.342662,,,,,,,,,,,,,,,,,,,,,,,,
1084,5.065421,0.204812,0.08211,0.342783,,,,,,,,,,,,,,,,,,,,,,,,
1085,5.070093,0.204867,0.084034,0.342805,,,,,,,,,,,,,,,,,,,,,,,,
1086,5.074766,0.204846,0.086043,0.342866,,,,,,,,,,,,,,,,,,,,,,,,
1087,5.079439,0.204893,0.087905,0.342868,,,,,,,,,,,,,,,,,,,,,,,,
1088,5.084112,0.20493,0.089711,0.342815,,,,,,,,,,,,,,,,,,,,,,,,
1089,5.088785,0.204903,0.091523,0.342817,,,,,,,,,,,,,,,,,,,,,,,,
1090,5.093458,0.204975,0.092981,0.342833,,,,,,,,,,,,,,,,,,,,,,,,
1091,5.098131,0.20507,0.094141,0.342777,,,,,,,,,,,,,,,,,,,,,,,,
1092,5.102804,0.205136,0.095202,0.342755,,,,,,,,,,,,,,,,,,,,,,,,
1093,5.107477,0.20515,0.09611,0.342762,,,,,,,,,,,,,,,,,,,,,,,,
1094,5.11215,0.205171,0.096714,0.342736,,,,,,,,,,,,,,,,,,,,,,,,
1095,5.116822,0.205165,0.097257,0.342672,,,,,,,,,,,,,,,,,,,,,,,,
1096,5.121495,0.20514,0.097665,0.34263,,,,,,,,,,,,,,,,,,,,,,,,
1097,5.126168,0.20512,0.097778,0.342553,,,,,,,,,,,,,,,,,,,,,,,,
1098,5.130841,0.205126,0.097565,0.342508,,,,,,,,,,,,,,,,,,,,,,,,
1099,5.135514,0.205112,0.097125,0.342493,,,,,,,,,,,,,,,,,,,,,,,,
1100,5.140187,0.20502,0.096709,0.342427,,,,,,,,,,,,,,,,,,,,,,,,
1101,5.14486,0.204966,0.096073,0.342374,,,,,,,,,,,,,,,,,,,,,,,,
1102,5.149533,0.204944,0.095167,0.342393,,,,,,,,,,,,,,,,,,,,,,,,
1103,5.154206,0.204912,0.093911,0.342389,,,,,,,,,,,,,,,,,,,,,,,,
1104,5.158879,0.204818,0.092506,0.342362,,,,,,,,,,,,,,,,,,,,,,,,
1105,5.163551,0.204808,0.090971,0.342379,,,,,,,,,,,,,,,,,,,,,,,,
1106,5.168224,0.204795,0.089263,0.342414,,,,,,,,,,,,,,,,,,,,,,,,
1107,5.172897,0.204764,0.08731,0.342418,,,,,,,,,,,,,,,,,,,,,,,,
1108,5.17757,0.204678,0.085296,0.342392,,,,,,,,,,,,,,,,,,,,,,,,
1109,5.182243,0.204634,0.083102,0.342357,,,,,,,,,,,,,,,,,,,,,,,,
1110,5.186916,0.204564,0.080733,0.34233,,,,,,,,,,,,,,,,,,,,,,,,
1111,5.191589,0.204594,0.078103,0.342314,,,,,,,,,,,,,,,,,,,,,,,,
1112,5.196262,0.204624,0.075286,0.342255,,,,,,,,,,,,,,,,,,,,,,,,
1113,5.200935,0.204515,0.072645,0.34201,,,,,,,,,,,,,,,,,,,,,,,,
1114,5.205607,0.204629,0.069749,0.341948,,,,,,,,,,,,,,,,,,,,,,,,
1115,5.21028,0.204653,0.067074,0.341863,,,,,,,,,,,,,,,,,,,,,,,,
1116,5.214953,0.204548,0.064706,0.341592,,,,,,,,,,,,,,,,,,,,,,,,
1117,5.219626,0.204677,0.062355,0.341281,,,,,,,,,,,,,,,,,,,,,,,,
1118,5.224299,0.204677,0.061417,0.341092,,,,,,,,,,,,,,,,,,,,,,,,
1119,5.228972,0.204498,0.062049,0.340876,,,,,,,,,,,,,,,,,,,,,,,,
1120,5.233645,0.204409,0.063071,0.340574,,,,,,,,,,,,,,,,,,,,,,,,
1121,5.238318,0.204292,0.064404,0.340602,,,,,,,,,,,,,,,,,,,,,,,,
1122,5.242991,0.204224,0.065861,0.340539,,,,,,,,,,,,,,,,,,,,,,,,
1123,5.247664,0.204114,0.067386,0.340496,,,,,,,,,,,,,,,,,,,,,,,,
1124,5.252336,0.2041,0.069074,0.340544,,,,,,,,,,,,,,,,,,,,,,,,
1125,5.257009,0.204071,0.070786,0.340594,,,,,,,,,,,,,,,,,,,,,,,,
1126,5.261682,0.204048,0.072502,0.340629,,,,,,,,,,,,,,,,,,,,,,,,
1127,5.266355,0.204045,0.074382,0.340771,,,,,,,,,,,,,,,,,,,,,,,,
1128,5.271028,0.204106,0.076225,0.341026,,,,,,,,,,,,,,,,,,,,,,,,
1129,5.275701,0.204105,0.078169,0.341184,,,,,,,,,,,,,,,,,,,,,,,,
1130,5.280374,0.20418,0.080241,0.341333,,,,,,,,,,,,,,,,,,,,,,,,
1131,5.285047,0.204402,0.082079,0.341602,,,,,,,,,,,,,,,,,,,,,,,,
1132,5.28972,0.204432,0.084133,0.341725,,,,,,,,,,,,,,,,,,,,,,,,
1133,5.294393,0.204473,0.086118,0.341834,,,,,,,,,,,,,,,,,,,,,,,,
1134,5.299065,0.204528,0.088195,0.341957,,,,,,,,,,,,,,,,,,,,,,,,
1135,5.303738,0.204632,0.089975,0.342152,,,,,,,,,,,,,,,,,,,,,,,,
1136,5.308411,0.20476,0.091645,0.34234,,,,,,,,,,,,,,,,,,,,,,,,
1137,5.313084,0.204852,0.093269,0.342444,,,,,,,,,,,,,,,,,,,,,,,,
1138,5.317757,0.204991,0.094458,0.342558,,,,,,,,,,,,,,,,,,,,,,,,
1139,5.32243,0.205104,0.095534,0.342623,,,,,,,,,,,,,,,,,,,,,,,,
1140,5.327103,0.205175,0.096396,0.342741,,,,,,,,,,,,,,,,,,,,,,,,
1141,5.331776,0.205248,0.097085,0.342805,,,,,,,,,,,,,,,,,,,,,,,,
1142,5.336449,0.205255,0.09766,0.342824,,,,,,,,,,,,,,,,,,,,,,,,
1143,5.341121,0.205309,0.097968,0.342829,,,,,,,,,,,,,,,,,,,,,,,,
1144,5.345794,0.205318,0.098084,0.342807,,,,,,,,,,,,,,,,,,,,,,,,
1145,5.350467,0.205291,0.097944,0.342792,,,,,,,,,,,,,,,,,,,,,,,,
1146,5.35514,0.205231,0.097713,0.342787,,,,,,,,,,,,,,,,,,,,,,,,
1147,5.359813,0.205175,0.097326,0.342751,,,,,,,,,,,,,,,,,,,,,,,,
1148,5.364486,0.205149,0.096592,0.342808,,,,,,,,,,,,,,,,,,,,,,,,
1149,5.369159,0.205157,0.09569,0.342902,,,,,,,,,,,,,,,,,,,,,,,,
1150,5.373832,0.205117,0.094584,0.342955,,,,,,,,,,,,,,,,,,,,,,,,
1151,5.378505,0.205088,0.09321,0.343022,,,,,,,,,,,,,,,,,,,,,,,,
1152,5.383178,0.20511,0.091654,0.343121,,,,,,,,,,,,,,,,,,,,,,,,
1153,5.38785,0.205129,0.089944,0.343196,,,,,,,,,,,,,,,,,,,,,,,,
1154,5.392523,0.205033,0.088157,0.343228,,,,,,,,,,,,,,,,,,,,,,,,
1155,5.397196,0.205013,0.086077,0.34327,,,,,,,,,,,,,,,,,,,,,,,,
1156,5.401869,0.204968,0.0839,0.343255,,,,,,,,,,,,,,,,,,,,,,,,
1157,5.406542,0.204906,0.081482,0.343183,,,,,,,,,,,,,,,,,,,,,,,,
1158,5.411215,0.204896,0.078898,0.343104,,,,,,,,,,,,,,,,,,,,,,,,
1159,5.415888,0.204805,0.076295,0.342827,,,,,,,,,,,,,,,,,,,,,,,,
1160,5.420561,0.204734,0.073433,0.3426,,,,,,,,,,,,,,,,,,,,,,,,
1161,5.425234,0.204739,0.070515,0.34236,,,,,,,,,,,,,,,,,,,,,,,,
1162,5.429907,0.20472,0.067686,0.342147,,,,,,,,,,,,,,,,,,,,,,,,
1163,5.434579,0.204759,0.065056,0.341933,,,,,,,,,,,,,,,,,,,,,,,,
1164,5.439252,0.204706,0.062755,0.341515,,,,,,,,,,,,,,,,,,,,,,,,
1165,5.443925,0.204758,0.061433,0.341323,,,,,,,,,,,,,,,,,,,,,,,,
1166,5.448598,0.204651,0.061981,0.34115,,,,,,,,,,,,,,,,,,,,,,,,
1167,5.453271,0.204603,0.062894,0.34105,,,,,,,,,,,,,,,,,,,,,,,,
1168,5.457944,0.204476,0.064199,0.341114,,,,,,,,,,,,,,,,,,,,,,,,
1169,5.462617,0.204461,0.065691,0.341119,,,,,,,,,,,,,,,,,,,,,,,,
1170,5.46729,0.204362,0.067211,0.341162,,,,,,,,,,,,,,,,,,,,,,,,
1171,5.471963,0.204431,0.068747,0.341295,,,,,,,,,,,,,,,,,,,,,,,,
1172,5.476636,0.204452,0.070322,0.341526,,,,,,,,,,,,,,,,,,,,,,,,
1173,5.481308,0.20442,0.072038,0.341589,,,,,,,,,,,,,,,,,,,,,,,,
1174,5.485981,0.204421,0.07386,0.34173,,,,,,,,,,,,,,,,,,,,,,,,
1175,5.490654,0.204521,0.075563,0.341985,,,,,,,,,,,,,,,,,,,,,,,,
1176,5.495327,0.204542,0.077442,0.342167,,,,,,,,,,,,,,,,,,,,,,,,
1177,5.5,0.204586,0.079418,0.34231,,,,,,,,,,,,,,,,,,,,,,,,
1178,5.504673,0.204643,0.081517,0.342427,,,,,,,,,,,,,,,,,,,,,,,,
1179,5.509346,0.204742,0.083485,0.342512,,,,,,,,,,,,,,,,,,,,,,,,
1180,5.514019,0.2048,0.08541,0.342657,,,,,,,,,,,,,,,,,,,,,,,,
1181,5.518692,0.204799,0.087537,0.342723,,,,,,,,,,,,,,,,,,,,,,,,
1182,5.523364,0.204868,0.089435,0.342725,,,,,,,,,,,,,,,,,,,,,,,,
1183,5.528037,0.204899,0.091242,0.342763,,,,,,,,,,,,,,,,,,,,,,,,
1184,5.53271,0.204962,0.092872,0.342829,,,,,,,,,,,,,,,,,,,,,,,,
1185,5.537383,0.20508,0.094132,0.342832,,,,,,,,,,,,,,,,,,,,,,,,
1186,5.542056,0.205197,0.095211,0.342829,,,,,,,,,,,,,,,,,,,,,,,,
