n,t,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,
68,0.317757,0.204971,0.066212,0.342651,,,,,,,,,,,,,,,,,,,,,,,,
69,0.32243,0.204983,0.066194,0.342661,,,,,,,,,,,,,,,,,,,,,,,,
70,0.327103,0.204975,0.066209,0.342651,,,,,,,,,,,,,,,,,,,,,,,,
71,0.331776,0.204984,0.066187,0.342665,,,,,,,,,,,,,,,,,,,,,,,,
72,0.336449,0.20498,0.066196,0.342662,,,,,,,,,,,,,,,,,,,,,,,,
73,0.341121,0.204988,0.066183,0.342668,,,,,,,,,,,,,,,,,,,,,,,,
74,0.345794,0.204987,0.066172,0.342677,,,,,,,,,,,,,,,,,,,,,,,,
75,0.350467,0.204987,0.066175,0.342672,,,,,,,,,,,,,,,,,,,,,,,,
76,0.35514,0.204995,0.066158,0.342683,,,,,,,,,,,,,,,,,,,,,,,,
77,0.359813,0.204978,0.066184,0.342672,,,,,,,,,,,,,,,,,,,,,,,,
78,0.364486,0.204991,0.066171,0.342675,,,,,,,,,,,,,,,,,,,,,,,,
79,0.369159,0.204992,0.066171,0.342677,,,,,,,,,,,,,,,,,,,,,,,,
80,0.373832,0.204993,0.066162,0.342677,,,,,,,,,,,,,,,,,,,,,,,,
81,0.378505,0.20499,0.066172,0.342672,,,,,,,,,,,,,,,,,,,,,,,,
82,0.383178,0.205003,0.066148,0.342682,,,,,,,,,,,,,,,,,,,,,,,,
83,0.38785,0.204999,0.066151,0.342686,,,,,,,,,,,,,,,,,,,,,,,,
84,0.392523,0.205003,0.066141,0.342686,,,,,,,,,,,,,,,,,,,,,,,,
85,0.397196,0.205005,0.066146,0.342682,,,,,,,,,,,,,,,,,,,,,,,,
86,0.401869,0.205011,0.066136,0.34269,,,,,,,,,,,,,,,,,,,,,,,,
87,0.406542,0.205016,0.066123,0.342693,,,,,,,,,,,,,,,,,,,,,,,,
88,0.411215,0.205015,0.066128,0.342694,,,,,,,,,,,,,,,,,,,,,,,,
89,0.415888,0.205017,0.066118,0.342696,,,,,,,,,,,,,,,,,,,,,,,,
90,0.420561,0.20502,0.06611,0.342703,,,,,,,,,,,,,,,,,,,,,,,,
91,0.425234,0.205015,0.066117,0.342701,,,,,,,,,,,,,,,,,,,,,,,,
92,0.429907,0.205022,0.066108,0.342709,,,,,,,,,,,,,,,,,,,,,,,,
93,0.434579,0.205011,0.066129,0.342697,,,,,,,,,,,,,,,,,,,,,,,,
94,0.439252,0.205,0.066136,0.342692,,,,,,,,,,,,,,,,,,,,,,,,
95,0.443925,0.204992,0.066158,0.342688,,,,,,,,,,,,,,,,,,,,,,,,
96,0.448598,0.204977,0.066183,0.342676,,,,,,,,,,,,,,,,,,,,,,,,
97,0.453271,0.204979,0.066174,0.342684,,,,,,,,,,,,,,,,,,,,,,,,
98,0.457944,0.204959,0.066207,0.342668,,,,,,,,,,,,,,,,,,,,,,,,
99,0.462617,0.204959,0.066219,0.342664,,,,,,,,,,,,,,,,,,,,,,,,
100,0.46729,0.204946,0.066233,0.342656,,,,,,,,,,,,,,,,,,,,,,,,
101,0.471963,0.20494,0.066253,0.342642,,,,,,,,,,,,,,,,,,,,,,,,
102,0.476636,0.204934,0.066267,0.342638,,,,,,,,,,,,,,,,,,,,,,,,
103,0.481308,0.20493,0.06628,0.342625,,,,,,,,,,,,,,,,,,,,,,,,
104,0.485981,0.204922,0.066291,0.342616,,,,,,,,,,,,,,,,,,,,,,,,
105,0.490654,0.204918,0.066298,0.342617,,,,,,,,,,,,,,,,,,,,,,,,
106,0.495327,0.204913,0.066317,0.342608,,,,,,,,,,,,,,,,,,,,,,,,
