l,k,time,hip_torque,hip_angle,hip_speed,crank1_torque,crank1_angle,crank1_speed,body_y,body_dy,body_ddy,body_rz
0.011385901998146312,2964.6653072717927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
0.0470839607522986,2862.6938048475604,0.0002,0.195,-2.5219632367792232e-05,-0.12609816183885164,-0.195,4.12149286560474e-06,0.020607464328087344,0.1,0.0,0.0,0.0
0.04153013724955509,,0.0004,-0.16824626386596592,0.020193454855011235,101.09337243689534,-0.059007951027778484,-0.06872779504334141,-343.6595826810354,0.1,0.0,0.0,0.0
,,0.0006000000000000001,-0.026786529556554795,0.02615508910508621,29.808171250375185,-0.06268740732698007,-0.12437221859367756,-278.2221177516812,0.1,0.0,0.0,0.0
,,0.0008,0.010977037279153659,0.028305418446925062,10.751646709194258,-0.06843133613197319,-0.16728272796087706,-214.55254683599696,0.1,0.0,0.0,0.0
,,0.001,0.024481934296781357,0.02909743648745989,3.9600902026735443,-0.08213896921224963,-0.19288122570170796,-127.99248870415391,0.1,0.0,0.0,0.0
,,0.0012000000000000001,0.02448725434025117,0.029881226299191953,3.9189490586610236,-0.09919045811096666,-0.20124558966196382,-41.82181980127963,0.1,0.0,0.0,0.0
,,0.0014000000000000002,0.01605149553586799,0.03148442738144211,8.016005411250552,-0.114818409598122,-0.19644645448598183,23.995675879910102,0.1,0.0,0.0,0.0
,,0.0016000000000000003,0.004105832478381234,0.03423494627730366,13.75259447930769,-0.12594190151922358,-0.18446141559873128,59.925194436252895,0.1,0.0,0.0,0.0
,,0.0018000000000000004,-0.007001394808178743,0.038027901044518524,18.96477383607411,-0.1314259459723443,-0.17122076480239848,66.20325398166389,0.1,0.0,0.0,0.0
,,0.0020000000000000005,-0.01444511079861324,0.042483465579884375,22.277822676829384,-0.1317665103608198,-0.16124494368848621,49.87910556956026,0.1,0.0,0.0,0.0
,,0.0022000000000000006,-0.017285507469360695,0.04713711359934949,23.268240097326892,-0.12852611782949575,-0.15698459561327874,21.301740376036257,0.1,0.0,0.0,0.0
,,0.0024000000000000007,-0.016149582733468157,0.051594907161713846,22.288967811821063,-0.12369307068421986,-0.1588097909270008,-9.125976568610081,0.1,0.0,0.0,0.0
,,0.0026000000000000007,-0.012543007741142875,0.05561826871346871,20.116807758773444,-0.11910081442791842,-0.1654889155125548,-33.395622927769054,0.1,0.0,0.0,0.0
,,0.002800000000000001,-0.00817782337434151,0.05914117036998837,17.614508282598894,-0.11601685266713527,-0.1749324602166102,-47.21772352027701,0.1,0.0,0.0,0.0
,,0.003000000000000001,-0.004494322502223079,0.06224010487700583,15.494672535087227,-0.11497017081520029,-0.18495689401089085,-50.12216897140287,0.1,0.0,0.0,0.0
,,0.003200000000000001,-0.0023969301621944066,0.0650787470032394,14.193210631167984,-0.11581393100003382,-0.1938677565267625,-44.5543125793584,0.1,0.0,0.0,0.0
,,0.003400000000000001,-0.002179600414466064,0.06784638471433632,13.83818855548487,-0.11794974044716038,-0.20075671286786287,-34.44478170550268,0.1,0.0,0.0,0.0
,,0.003600000000000001,-0.0036069400665041077,0.0707055121984389,14.295637420512639,-0.12060914945498065,-0.20551252489933056,-23.77906015733852,0.1,0.0,0.0,0.0
,,0.0038000000000000013,-0.006102726273076,0.07375893552302464,15.267116622929578,-0.12310046354041092,-0.2086230195381656,-15.552473194176661,0.1,0.0,0.0,0.0
,,0.004000000000000001,-0.00898039593777001,0.07704012367789234,16.40594077433809,-0.12496567912778986,-0.21087852633120016,-11.277533965171767,0.1,0.0,0.0,0.0
,,0.004200000000000001,-0.011646684636722443,0.08052371629754126,17.417963098244687,-0.12603284344249283,-0.21308107959680045,-11.012766328001515,0.1,0.0,0.0,0.0
,,0.0044,-0.013728420799190523,0.08414825792116234,18.12270811810549,-0.12638031431882238,-0.21583237122577748,-13.756458144884942,0.1,0.0,0.0,0.0
,,0.0046,-0.01510598529297996,0.08784176735030581,18.46754714571719,-0.1262466013999259,-0.2194329299235125,-18.00279348867461,0.1,0.0,0.0,0.0
,,0.0048,-0.01586930748869685,0.0915424910338914,18.50361841792817,-0.12592350596619747,-0.22388789253437863,-22.274813054331375,0.1,0.0,0.0,0.0
,,0.004999999999999999,-0.01623079394006173,0.09521071203998345,18.341105030459474,-0.1256643644525741,-0.22898881117616204,-25.504593208916003,0.1,0.0,0.0,0.0
,,0.005199999999999999,-0.016431366034632647,0.09883111428795265,18.10201123984584,-0.12562724988153443,-0.2344294025797146,-27.202957017762415,0.1,0.0,0.0,0.0
,,0.0053999999999999986,-0.016666362122880467,0.10240783497240283,17.883603422250676,-0.12585897870493568,-0.23991530370323175,-27.42950561758601,0.1,0.0,0.0,0.0
,,0.005599999999999998,-0.017044848903913695,0.10595562439831206,17.73894712954611,-0.1263134961878325,-0.24523999398476937,-26.623451407687707,0.1,0.0,0.0,0.0
,,0.005799999999999998,-0.017583662540009183,0.10949059488151651,17.674852416022958,-0.12689055104002078,-0.2503155385621377,-25.377722886842182,0.1,0.0,0.0,0.0
,,0.0059999999999999975,-0.018228396102669686,0.11302320891300541,17.663070157444363,-0.1274786450026635,-0.2551621459422027,-24.233036900325764,0.1,0.0,0.0,0.0
,,0.006199999999999997,-0.018888529411507964,0.11655484935712178,17.658202220582254,-0.1279892577227027,-0.2598707684703642,-23.543112640808097,0.1,0.0,0.0,0.0
,,0.006399999999999997,-0.01947327700134862,0.1200779718449669,17.615612439225405,-0.1283752180732789,-0.26455656610241185,-23.428988160236745,0.1,0.0,0.0,0.0
